.type log
.attributes
case-id
concept:name
event-id
follows[]
.events
1 Register
1 Analyze_Defect
1 Analyze_Defect
1 Repair_Complex
1 Repair_Complex
1 Test_Repair
10 Register
10 Analyze_Defect
10 Analyze_Defect
10 Repair_Simple
10 Repair_Simple
10 Test_Repair
10 Test_Repair
10 Restart_Repair
10 Repair_Simple
100 Register
100 Analyze_Defect
100 Analyze_Defect
100 Repair_Complex
100 Repair_Complex
100 Test_Repair
1000 Register
1000 Analyze_Defect
1000 Analyze_Defect
1000 Repair_Simple
1000 Repair_Simple
1000 Test_Repair
1001 Register
1001 Analyze_Defect
1001 Analyze_Defect
1001 Repair_Complex
1001 Inform_User
1002 Register
1002 Analyze_Defect
1002 Analyze_Defect
1002 Repair_Simple
1002 Inform_User
1003 Register
1003 Analyze_Defect
1003 Analyze_Defect
1003 Repair_Simple
1003 Repair_Simple
1003 Test_Repair
1003 Inform_User
1003 Test_Repair
1004 Register
1004 Analyze_Defect
1004 Analyze_Defect
1004 Repair_Simple
1004 Repair_Simple
1005 Register
1005 Analyze_Defect
1005 Analyze_Defect
1005 Repair_Simple
1005 Repair_Simple
1006 Register
1006 Analyze_Defect
1006 Analyze_Defect
1006 Repair_Complex
1006 Inform_User
1007 Register
1007 Analyze_Defect
1007 Analyze_Defect
1007 Inform_User
1007 Repair_Simple
1008 Register
1008 Analyze_Defect
1008 Analyze_Defect
1008 Repair_Simple
1008 Inform_User
1008 Repair_Simple
1008 Test_Repair
1008 Test_Repair
1008 Restart_Repair
1008 Repair_Simple
1008 Repair_Simple0
1009 Register
1009 Analyze_Defect
1009 Analyze_Defect
1009 Repair_Complex
1009 Repair_Complex
101 Register
101 Analyze_Defect
101 Analyze_Defect
101 Inform_User
101 Repair_Complex
101 Repair_Complex
1010 Register
1010 Analyze_Defect
1010 Analyze_Defect
1010 Repair_Simple
1010 Repair_Simple
1010 Test_Repair
1010 Test_Repair
1010 Restart_Repair
1011 Register
1011 Analyze_Defect
1011 Analyze_Defect
1011 Repair_Complex
1011 Inform_User
1012 Register
1012 Analyze_Defect
1012 Analyze_Defect
1012 Repair_Complex
1012 Repair_Complex
1013 Register
1013 Analyze_Defect
1013 Analyze_Defect
1013 Repair_Complex
1013 Inform_User
1014 Register
1014 Analyze_Defect
1014 Analyze_Defect
1014 Repair_Simple
1014 Repair_Simple
1015 Register
1015 Analyze_Defect
1015 Analyze_Defect
1015 Repair_Complex
1015 Repair_Complex
1016 Register
1016 Analyze_Defect
1016 Analyze_Defect
1016 Repair_Simple
1016 Inform_User
1016 Repair_Simple
1016 Test_Repair
1016 Test_Repair
1016 Restart_Repair
1016 Repair_Simple
1016 Repair_Simple0
1017 Register
1017 Analyze_Defect
1017 Analyze_Defect
1017 Repair_Simple
1017 Inform_User
1018 Register
1018 Analyze_Defect
1018 Analyze_Defect
1018 Inform_User
1018 Repair_Complex
1019 Register
1019 Analyze_Defect
1019 Analyze_Defect
1019 Repair_Complex
1019 Repair_Complex
102 Register
